id;date;description;amount
1;2019-06-23T03:17:22;National Awesome sky blue;4522
2;2019-06-22T18:34:16;navigating;74732
3;2019-06-23T11:07:36;generating compelling;28093
4;2019-06-23T03:04:13;bifurcated scalable;16526
5;2019-06-23T15:50:59;Administrator;77224
6;2019-06-23T08:09:43;24 hour;1407
7;2019-06-22T22:04:05;monitor;72900
8;2019-06-22T22:40:30;Checking Account Identity deposit;91495
9;2019-06-22T20:55:29;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-06-23T01:39:25;New York tangible Mississippi;38292
