id;label
1;ack consequently underneath
2;ewX
3;nor jiggle
4;patiently
5;discontinue lender um
6;bossy who outlandish
7;aha stock acidic
8;inside midst
9;preregister
10;astride weakly
11;warlike supposing earth
12;hence though underachieve
13;likewise by
14;utterly
15;physically sham
16;trash
17;modulo
18;although
19;how adrenalin
20;awX
21;upright
22;because rejigger beyond
23;ack helplessly into
24;best-seller intrigue
25;an recklessly
26;easy
27;yuck exactly yearly
28;swiftly rigidly incidentally
29;parody how
30;opera whereas weekly
