id;date;description;amount
1;2019-09-13T01:52:55;National Awesome sky blue;4522
2;2019-09-12T17:09:49;navigating;74732
3;2019-09-13T09:43:09;generating compelling;28093
4;2019-09-13T01:39:46;bifurcated scalable;16526
5;2019-09-13T14:26:32;Administrator;77224
6;2019-09-13T06:45:16;24 hour;1407
7;2019-09-12T20:39:38;monitor;72900
8;2019-09-12T21:16:03;Checking Account Identity deposit;91495
9;2019-09-12T19:31:02;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-09-13T00:14:58;New York tangible Mississippi;38292
